0,1,2,3,4,5
1,플라즈마물성,한국핵융합연구소,2006-12-26,물리,연구기관
6,유기화합물 열역학물성,고려대학교,2007-12-27,화학공정,교육기관
7,핵연료재료,한국원자력연구원,2008-12-30,에너지∙자원,연구기관
8,철강소재 미세조직,포항산업과학연구원,2008-12-30,재료,연구기관
14,중력가속도,한국표준과학연구원,2008-12-30,기계,연구기관
16,원자력 구조재료 역학물성,한국원자력연구원,2009-12-30,에너지∙자원,연구기관
18,표준게놈,게놈연구재단,2010-12-28,생명과학,산업체
19,신재생에너지,한국에너지기술연구원,2010-12-28,에너지∙자원,연구기관
20,고속물성,KAIST,2010-12-28,재료,교육기관
21,한국인 뇌MR 영상,동국대학교병원,2010-12-28,보건의료,의료기관
23,한국인관절가동범위,충남대학교병원,2021-12-31,보건의료,의료기관
26,수질,한국수자원공사,2014-01-08,환경,의료기관
27,한국인체성분,중앙대학교병원,2014-01-08,보건의료,의료기관
28,한국인 건강지수,국민건강보험공단,2015-01-18,보건의료,공공기관
29,혈류,경희의료원,2015-01-18,보건의료,의료기관
31,한국인 표준신경전도,서울대학교병원,2016-01-05,보건의료,의료기관
32,한국인 체열,일산병원,2016-01-05,보건의료,의료기관
33,영상기반 한국인 심장구조,연세대학교 의료원,2016-11-15,보건의료,의료기관
34,전자에너지손실,구미전자정보기술원,2016-11-15,재료,연구기관
35,환경방사능,한국표준과학연구원,2016-11-15,환경,연구기관
36,한국인 호흡기능,연세의료원,2018-02-13,보건의료,의료기관
38,융복합 세라믹소재,한국세라믹기술원,2018-02-13,재료,연구기관
40,전자파 물질상수,한국표준과학연구원,2018-02-13,전기·전자,연구기관
41,한국인 인체동작분석,분당서울대학교병원,2019-01-02,보건의료,의료기관
42,한국인 청각,원주세브란스기독병원,2019-01-02,보건의료,의료기관
43,화학증착소재물성,한국표준과학연구원,2019-01-02,재료,연구기관
44,한국인 내분비 호르몬,연세대학교 원주세브랑스기독병원,2020-01-03,보건의료,의료기관
45,수문,K-water,2020-01-03,환경,의료기관
46,채소 생육,국립원예특작과학원,2020-01-03,농업,연구기관
47,국가식품성분,국립농업과학원,2021-02-02,식품,의료기관
48,맥진,경희의료원,2021-08-10,보건의료,의료기관
49,한국인 균형능력,대구보건대학교,2021-08-10,보건의료,교육기관
50,섬유소재,다이텍연구원,2021-08-10,재료,연구기관
51,금속소재 고온인장물성,한국표준과학연구원,2021-12-23,재료,연구기관
52,수도정보,한국수자원공사,2021-12-23,환경,공공기관
53,국가농경지 환경자원,국립농업과학원,2021-12-23,농림·수산,공공기관
54,한약자원 특성,한의학연구원,2021-12-23,보건의료,연구기관
55,광산란 특성,한국표준과학연구원,2021-12-23,물리,연구기관
56,조명융합,한국조명ICT연구원,2022-12-20,물리,연구기관
57,국가작물표현체,국립농업과학원,2022-12-20,농업,연구기관
58,호흡기안전성,경희대학교 산학협력단,2022-12-20,화학공정,교육기관
59,빛공해,한국광기술원,2022-12-20,환경,연구기관
60,대기측정,한국표준과학연구원,2022-12-20,환경,연구기관
61,라이프로그,연세대학교 원주산학협력단,2022-12-20,보건의료,교육기관
62,나노물질 안전성,한국표준과학연구원,2022-12-20,화학공정,연구기관
63,설진,한국한의학연구원,2022-12-20,보건의료,연구기관
